iter,mu,sigma2,nu
3495,0.0012348615174487027,3.792602335825984e-05,4.014910859709234
3500,0.0013392672804898378,4.0351826042244386e-05,4.288252726127068
3505,0.000919219473761965,4.3968616769576157e-05,4.286765504005714
3510,0.001352140390095468,3.895168988907756e-05,4.288206145501279
3515,0.0016127755032374466,4.660397739732692e-05,3.9443865096105775
3520,0.000881923091056474,3.749409269957209e-05,3.7474965702713554
3525,0.0011477315081471619,4.2923660766801296e-05,3.6821526866353036
3530,0.001391464794800558,4.370930041956471e-05,3.647686873613086
3535,0.0010290890688073502,4.8696137036340814e-05,3.8606907245091566
3540,0.0008481676868576135,4.3947156769270916e-05,3.869582751215872
3545,0.0009239955881265478,3.8946408692739234e-05,3.4818155270478375
3550,0.0008157618211043002,3.3658818559978116e-05,3.65105294035648
3555,0.0007485987730783552,3.536357444076717e-05,3.434087983887592
3560,0.0008830409367596086,3.7113324028100435e-05,3.6480820884810754
3565,0.0009319957010113895,4.0892735666072826e-05,3.373812534863708
3570,0.001223724374462861,3.958585039655202e-05,3.451085277513023
3575,0.0006421892298880863,4.561601347448352e-05,4.035581650220884
3580,0.0014396266494540208,4.284041541918487e-05,4.340388752568316
3585,0.0007106334331895516,4.57877635857131e-05,4.431564598889536
3590,0.0007895067912724695,4.813279293989857e-05,5.008684757645803
3595,0.0006294711549309288,4.6587419702005503e-05,4.963581297708048
3600,0.0005598671277511521,4.450227150345848e-05,4.527715240250227
3605,0.0011947645745037966,4.151265666072836e-05,4.488166607548213
3610,0.0006306707063037769,3.9860574253984155e-05,3.93060660020329
3615,0.0013215384338136154,4.5686985838528266e-05,3.836096659761754
3620,0.000855526999008281,3.875781783263308e-05,4.109813391088149
3625,0.00027635127065253953,3.9824951239511934e-05,4.079336662948024
3630,0.0009661258165590872,4.4620958074671155e-05,3.5519956851809984
3635,0.0008381507005273797,3.9485723097833407e-05,3.413944721294884
3640,0.0009269615275881405,3.684709152232748e-05,3.646535272222361
3645,0.0013516199842131596,4.1550967419198e-05,3.537691711026144
3650,0.0009839351802039787,3.582354170459745e-05,3.6727732950420657
3655,0.0010687275896291957,4.232699633419792e-05,4.072906747446625
3660,0.00134867137656836,3.9987154356269786e-05,4.0396730135803605
3665,0.0012093475151419238,4.100763713015895e-05,3.9509747606732493
3670,0.0011358768383036488,4.4950114532200654e-05,3.664299984883457
3675,0.0008580768770553717,4.067518397428319e-05,3.699027436950452
3680,0.0006058535037155509,3.914214887976264e-05,3.1886797049581155
3685,0.0012152831125177036,4.074120377965987e-05,3.1046003054262084
3690,0.001229132920636521,3.34731794075544e-05,3.3182930769469645
3695,0.0006620104471821255,3.791997871453736e-05,3.5281051174314912
3700,0.001140366164824155,4.321809516963316e-05,3.3262906926278863
3705,0.0008840228437293608,3.5133971243896774e-05,3.107686932176412
3710,0.0013353724126952216,4.078212423687916e-05,3.1252051886455887
3715,0.0008789693302626019,3.689585088509941e-05,3.255058806200207
3720,0.0009035243011955722,3.907496103877361e-05,3.550251463538676
3725,0.0007933355047837561,4.078670694323392e-05,3.459584471201623
3730,0.0010697834397062067,3.8119835190370854e-05,3.522329366181764
3735,0.0013586994859209295,4.13956243711275e-05,3.765821374059125
3740,0.0010741801753806118,4.288739153653265e-05,3.7534371097748096
3745,0.0010895601780366716,4.0114790498119656e-05,3.6236730661485717
3750,0.0009008143324276706,3.9698171007528286e-05,3.9189389365976712
3755,0.0014437757889869598,4.2121612222532624e-05,3.84450564081425
3760,0.0008590595870626549,3.950951020758423e-05,3.7316428840251574
3765,0.001122283161637811,3.740990148282754e-05,3.7316428840251574
3770,0.0005862478392395186,3.750419836329968e-05,4.070687124032945
3775,0.0007943173862583422,3.831590311752149e-05,4.019027337224198
3780,0.0011195703776834297,3.74141869050997e-05,3.824195943360314
3785,0.0010007810100078843,4.3128351318433855e-05,3.8477295707858774
3790,0.00046776553167765983,4.0139123038243774e-05,4.235538000153686
3795,0.0010950766479367131,4.4241084174253775e-05,4.304846073299846
3800,0.0012731964619512226,4.521839205738715e-05,4.304846073299846
3805,0.001234564185348566,4.6893471507898683e-05,3.708220842688873
3810,0.001104743048607431,4.468385486180212e-05,3.997519765456513
3815,0.0014099770425979998,3.880789423594877e-05,3.9508863769356894
3820,0.0011795193494772247,3.692874127975923e-05,3.980273729744125
3825,0.0009522623693473081,4.023604136007232e-05,3.5673416577109327
3830,0.0008314099263490936,3.928153341170102e-05,3.6507426686282356
3835,0.000993958876512031,4.0818699812254215e-05,3.6335865620165553
3840,0.0011144572897561107,4.3397967514645784e-05,3.580773000592102
3845,0.0013610581589301128,3.770803025287268e-05,3.666038687020868
3850,0.0007753415489195596,3.6819975075093884e-05,3.047761157942437
3855,0.000850509390669194,3.733889588931752e-05,3.1185085070284533
3860,0.001467984208758536,3.2779960692732443e-05,3.0626424598962596
3865,0.0009160688475441726,3.714955887544009e-05,3.4253871235503093
3870,0.0008978026681218779,4.358752770564825e-05,3.3843228124724014
3875,0.0011841053428431885,3.499621239981227e-05,3.8508908558795882
3880,0.001069950987177871,3.682208744928145e-05,3.718463279353287
